passage_id,project_id,fact_ids,source_url,exact_text_de,review_category,REVIEW_english,REVIEW_milestone_or_measure,REVIEW_scope,REVIEW_date_and_qualifiers,REVIEW_verdict,REVIEW_notes,REVIEW_minutes
P001,C-014,c014-project-name,https://www.berlin.de/sen/sbw/presse/pressemeldungen/2023/pressemitteilung.1338536.php,Umgestaltung des Europaplatzes Süd,routine,,,,,,,
P002,C-014,c014-project-location,https://www.berlin.de/sen/stadt/presse/pressemeldungen/pressemitteilung.1637393.php,dem Vorplatz des Hauptbahnhofs an der Invalidenstraße,routine,,,,,,,
P003,C-014,c014-places-programme-page-figure,https://www.berlin.de/sen/bauen/baukultur/berliner-plaetzeprogramm/europaplatz-sued-1567894.php,finanziert aus dem Plätzeprogramm: 1.900.000 €,exception,,,,,,,
P004,C-014,c014-places-programme-index-figure,https://www.berlin.de/sen/bauen/baukultur/berliner-plaetzeprogramm/,"Das Berliner Plätzeprogramm steuert rund 1,7 Mio. Euro zur Maßnahme bei.",exception,,,,,,,
P005,C-014,c014-current-status,https://www.berlin.de/sen/bauen/baukultur/berliner-plaetzeprogramm/europaplatz-sued-1567894.php,Laufende Maßnahme,routine,,,,,,,
P006,C-014,c014-expected-completion-current,https://www.berlin.de/sen/bauen/baukultur/berliner-plaetzeprogramm/europaplatz-sued-1567894.php,Fertigstellung: 2026,routine,,,,,,,
P007,C-014,c014-completion-history-2023,https://www.berlin.de/sen/stadt/presse/pressemeldungen/2023/pressemitteilung.1374721.php,Die Fertigstellung der anspruchsvollen Bauaufgabe ist bis Ende 2025 vorgesehen.,routine,,,,,,,
P008,C-014,c014-completion-history-2025-a,https://www.parlament-berlin.de/adosservice/19/Haupt/vorgang/h19-2449-v.pdf,Die Umsetzung der Baumaßnahme wird nach zeitnaher Ausschreibung (2025) in 2026 durchgeführt (Fertigstellung geplant für Sommer 2026).,routine,,,,,,,
P009,C-014,c014-completion-history-2025-b,https://www.parlament-berlin.de/adosservice/19/Haupt/vorgang/h19-2449-v.pdf,Die Baumaßnahme wird im Sommer 2026 abgeschlossen werden.,routine,,,,,,,
P010,C-014,c014-completion-history-2025-c,https://www.parlament-berlin.de/adosservice/19/Haupt/vorgang/h19-2449-v.pdf,Die Fertigstellung der Baumaßnahme wird voraussichtlich in 2026 erfolgen.,routine,,,,,,,
P011,C-014,c014-construction-start-history,https://www.parlament-berlin.de/adosservice/19/Haupt/vorgang/h19-2449-v.pdf,Der Baubeginn wird erst im Januar 2026 erfolgen.,routine,,,,,,,
P012,C-014,c014-construction-start-current,https://www.berlin.de/sen/stadt/presse/pressemeldungen/pressemitteilung.1637393.php,"Die Umgestaltung des südlichen Europaplatzes, dem Vorplatz des Hauptbahnhofs an der Invalidenstraße, beginnt am 2. Februar 2026.",routine,,,,,,,
P013,C-014,c014-approved-total-cost,https://www.parlament-berlin.de/adosservice/19/Haupt/vorgang/h19-2449-v.pdf,"Die Prüfung und Genehmigung der Bauplanungsunterlage mit Gesamtkosten in Höhe von 3.183.000 € brutto erfolgte mit Datum vom 31.01.2025 durch die zuständige Stelle der Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen.",routine,,,,,,,
P014,C-010,c010-project-name,https://www.howoge.de/schulbau/heinrich-hertz-gymnasium-projektuebersicht,Schulneubau Heinrich-Hertz-Gymnasium am Ostbahnhof,routine,,,,,,,
P015,C-010,c010-project-location,https://www.howoge.de/schulbau/heinrich-hertz-gymnasium-projektuebersicht,"Lange Straße/Straße der Pariser Kommune, 10243 Berlin – Friedrichshain-Kreuzberg",routine,,,,,,,
P016,C-010,c010-current-status,https://pardok.parlament-berlin.de/starweb/adis/citat/VT/19/SchrAnfr/S19-26230.pdf,Die Umsetzung des Schulneubaus liegt im Zeitplan.,routine,,,,,,,
P017,C-010,c010-technical-handover-current,https://pardok.parlament-berlin.de/starweb/adis/citat/VT/19/SchrAnfr/S19-26230.pdf,Die technische Übergabe des Neubaus an den Bezirk ist für den 31.08.2026 geplant.,exception,,,,,,,
P018,C-019,c019-project-name,https://www.bew.berlin/aktuelles-und-presse/2026/120-megawatt-am-heizkraftwerk-berlin-mitte/,Power-to-Heat-Anlage am Heizkraftwerk Berlin-Mitte,routine,,,,,,,
P019,C-019,c019-commissioning-current,https://www.bew.berlin/aktuelles-und-presse/2026/120-megawatt-am-heizkraftwerk-berlin-mitte/,Die Inbetriebnahme ist bis Ende 2028 geplant.,routine,,,,,,,
P020,C-019,c019-financing-commitment,https://www.bew.berlin/aktuelles-und-presse/2026/120-megawatt-am-heizkraftwerk-berlin-mitte/,50Hertz finanziert den Bau der PtH-Anlage mit bis zu 75 Millionen Euro.,routine,,,,,,,
