glossary_id,german,passage_ids,REVIEW_english,REVIEW_scope_of_reuse,REVIEW_verdict,REVIEW_notes,REVIEW_minutes
G001,`Baubeginn`,P011,,,,,
G006,`Baumaßnahme`,P008;P009;P010,,,,,
G016,`Fertigstellung`,P006;P007;P008;P010,,,,,
G025,`Übergabe`,P017,,,,,
G030,`Inbetriebnahme`,P019,,,,,
G047,`technische Übergabe`,P017,,,,,
G048,`Bauplanungsunterlage` (BPU),P013,,,,,
G052,`Gesamtkosten`,P013,,,,,
G066,`finanziert aus dem Plätzeprogramm`,P003,,,,,
G080,`bis`,P007;P019;P020,,,,,
G082,`Anfang` / `Mitte` / `Ende`,P007;P018;P019,,,,,
G083,`voraussichtlich`,P010,,,,,
G084,`geplant`,P008;P017;P019,,,,,
G085,`vorgesehen`,P007,,,,,
G090,`rund` / `etwa` / `ca.`,P004,,,,,
G094,`bis zu` (before an amount),P020,,,,,
